"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 22 12:25:40 EET 2022","Tue Mar 22 12:25:42 EET 2022","1197","","Check autorization page (nagative)","","Check autorization page (nagative)","Check empty field email (checked checkbox)","Check empty field email (checked checkbox)",""
"passed","Tue Mar 22 12:25:56 EET 2022","Tue Mar 22 12:25:57 EET 2022","1011","","Check autorization page (positive)","","Check autorization page (positive)","Check Get Iron VPN secondary button","Check Get Iron VPN secondary button",""
"passed","Tue Mar 22 12:26:02 EET 2022","Tue Mar 22 12:26:04 EET 2022","1813","","Check autorization page (positive)","","Check autorization page (positive)","Check value from select","Check value from select",""
"passed","Tue Mar 22 12:26:21 EET 2022","Tue Mar 22 12:26:27 EET 2022","6005","","Check payment page (negative)","","Check payment page (negative)","Check card number field validation Card number: 23424","Check card number field validation Card number: 23424",""
"passed","Tue Mar 22 12:25:46 EET 2022","Tue Mar 22 12:25:47 EET 2022","1314","","Check autorization page (nagative)","","Check autorization page (nagative)","Check email field validation test@test.@com","Check email field validation test@test.@com",""
"passed","Tue Mar 22 12:27:51 EET 2022","Tue Mar 22 12:28:04 EET 2022","12736","","Check user flow","","Check user flow","Check login and payment","Check login and payment",""
"passed","Tue Mar 22 12:26:33 EET 2022","Tue Mar 22 12:26:39 EET 2022","5977","","Check payment page (negative)","","Check payment page (negative)","Check data field validation Date: 01/2073","Check data field validation Date: 01/2073",""
"passed","Tue Mar 22 12:26:27 EET 2022","Tue Mar 22 12:26:33 EET 2022","5987","","Check payment page (negative)","","Check payment page (negative)","Check data field validation Date: 01/2021","Check data field validation Date: 01/2021",""
"passed","Tue Mar 22 12:25:37 EET 2022","Tue Mar 22 12:25:40 EET 2022","3420","","Check autorization page (nagative)","","Check autorization page (nagative)","Check empty field email","Check empty field email",""
"passed","Tue Mar 22 12:27:05 EET 2022","Tue Mar 22 12:27:10 EET 2022","5102","","Check payment page (positive)","","Check payment page (positive)","Check payment popup (secondary button)","Check payment popup (secondary button)",""
"passed","Tue Mar 22 12:26:00 EET 2022","Tue Mar 22 12:26:02 EET 2022","1896","","Check autorization page (positive)","","Check autorization page (positive)","Check close Get Iron VPN popup","Check close Get Iron VPN popup",""
"passed","Tue Mar 22 12:25:54 EET 2022","Tue Mar 22 12:25:56 EET 2022","2473","","Check autorization page (positive)","","Check autorization page (positive)","Check Get Iron VPN primary button","Check Get Iron VPN primary button",""
"passed","Tue Mar 22 12:27:00 EET 2022","Tue Mar 22 12:27:05 EET 2022","5204","","Check payment page (positive)","","Check payment page (positive)","Check payment popup (primary button)","Check payment popup (primary button)",""
"passed","Tue Mar 22 12:26:57 EET 2022","Tue Mar 22 12:27:00 EET 2022","2867","","Check payment page (positive)","","Check payment page (positive)","Check Get Iron VPN secondary button","Check Get Iron VPN secondary button",""
